date,item_name,category,qty_sold,gross_revenue,day_of_week,dow_num
2026-04-01,American Nuts Ice Cream,ice_cream,1,150.0,Wednesday,2
2026-04-01,Andhra Chicken BL,chicken,1,316.0,Wednesday,2
2026-04-01,Anjeerbadam Ice Cream,ice_cream,2,300.0,Wednesday,2
2026-04-01,Belgium Choco Milk Shake,beverage,1,140.0,Wednesday,2
2026-04-01,Biryani Rice,biryani,2,324.0,Wednesday,2
2026-04-01,Boiled Egg,egg,4,140.0,Wednesday,2
2026-04-01,Butter Chicken BL,chicken,2,614.0,Wednesday,2
2026-04-01,Butter Naan,bread,22,1100.0,Wednesday,2
2026-04-01,Butter Scotch Milk Shake,beverage,2,280.0,Wednesday,2
2026-04-01,CDB Family Pack,family_pack,1,555.0,Wednesday,2
2026-04-01,Cashewnut Curry,starter,1,240.0,Wednesday,2
2026-04-01,Cashewnut Fry,starter,1,240.0,Wednesday,2
2026-04-01,Cashewnut Paneer Biryani,biryani,1,250.0,Wednesday,2
2026-04-01,Chicken Curry (B),chicken,2,500.0,Wednesday,2
2026-04-01,Chicken Dum Biryani,biryani,16,4128.0,Wednesday,2
2026-04-01,Chicken Fry Piece Biryani,biryani,12,3096.0,Wednesday,2
2026-04-01,Chicken Lollypop 6pc,chicken,4,1300.0,Wednesday,2
2026-04-01,Chota CB Biryani,biryani,8,1360.0,Wednesday,2
2026-04-01,Cool Drink 250ml,beverage,33,660.0,Wednesday,2
2026-04-01,Curd Rice,rice,6,456.0,Wednesday,2
2026-04-01,Dragon Chicken BL,chicken,2,630.0,Wednesday,2
2026-04-01,Egg Biryani,biryani,3,576.0,Wednesday,2
2026-04-01,Gobi Manchuria,starter,2,340.0,Wednesday,2
2026-04-01,Kadai Chicken (B),chicken,2,560.0,Wednesday,2
2026-04-01,Lassi Salt,beverage,2,130.0,Wednesday,2
2026-04-01,Mi.Water .500Ml,beverage,4,40.0,Wednesday,2
2026-04-01,Mi.Water Lt,beverage,56,1120.0,Wednesday,2
2026-04-01,Mix Veg Curry,other,2,380.0,Wednesday,2
2026-04-01,Omlett,other,2,180.0,Wednesday,2
2026-04-01,Palak Paneer,dairy,2,420.0,Wednesday,2
2026-04-01,Paneer,dairy,65,210.0,Wednesday,2
2026-04-01,Paneer Butter Masala,dairy,3,660.0,Wednesday,2
2026-04-01,Panner Biryani,biryani,2,458.0,Wednesday,2
2026-04-01,Plain Rice,other,6,288.0,Wednesday,2
2026-04-01,Prawns Biryani,biryani,4,1228.0,Wednesday,2
2026-04-01,Prawns Curry,seafood,2,654.0,Wednesday,2
2026-04-01,Pulka,other,32,384.0,Wednesday,2
2026-04-01,R R Chicken Bl,chicken,3,975.0,Wednesday,2
2026-04-01,Soda 750Ml,other,2,36.0,Wednesday,2
2026-04-01,Sp Chicken Biryani,biryani,23,6141.0,Wednesday,2
2026-04-01,Sp Chicken Fried Rice,chicken,5,1390.0,Wednesday,2
2026-04-01,Spl Fish Curry,seafood,2,700.0,Wednesday,2
2026-04-01,Today Spl Chicken Biryani,biryani,2,760.0,Wednesday,2
2026-04-01,Vanilla Ice Cream,ice_cream,3,297.0,Wednesday,2
2026-04-01,Veg Biryani,biryani,2,344.0,Wednesday,2
2026-04-02,Andhra Chicken BL,chicken,4,1264.0,Thursday,3
2026-04-02,Anjeerbadam Ice Cream,ice_cream,2,300.0,Thursday,3
2026-04-02,Baby Corn 555,other,1,210.0,Thursday,3
2026-04-02,Baby Corn 65,starter,1,200.0,Thursday,3
2026-04-02,Belgom Chocolate Ice Cream,ice_cream,2,260.0,Thursday,3
2026-04-02,Biryani Rice,biryani,1,162.0,Thursday,3
2026-04-02,Black Current Ice Cream,ice_cream,1,130.0,Thursday,3
2026-04-02,Boiled Egg,egg,3,105.0,Thursday,3
2026-04-02,Butter Chicken BL,chicken,5,1535.0,Thursday,3
2026-04-02,Butter Naan,bread,38,1900.0,Thursday,3
2026-04-02,Butterscotch Ice Cream,ice_cream,1,120.0,Thursday,3
2026-04-02,CB Family Pack,family_pack,4,2300.0,Thursday,3
2026-04-02,CDB Family Pack,family_pack,3,1665.0,Thursday,3
2026-04-02,Cashewnut Biryani,biryani,2,458.0,Thursday,3
2026-04-02,Cashewnut Chicken Bl,chicken,2,652.0,Thursday,3
2026-04-02,Cashewnut Curry,starter,1,240.0,Thursday,3
2026-04-02,Cashewnut Fry,starter,1,240.0,Thursday,3
2026-04-02,Cashewnut Panner Curry,starter,2,500.0,Thursday,3
2026-04-02,Cashewnut Panner(F) Rice,starter,2,500.0,Thursday,3
2026-04-02,Cashw Nut Fried Rice,rice,1,220.0,Thursday,3
2026-04-02,Chicken Curry Bl,chicken,2,576.0,Thursday,3
2026-04-02,Chicken Dum Biryani,biryani,9,2322.0,Thursday,3
2026-04-02,Chicken Fry Piece Biryani,biryani,10,2580.0,Thursday,3
2026-04-02,Chicken Lollypop 3pc,chicken,5,1000.0,Thursday,3
2026-04-02,Chicken Lollypop 6pc,chicken,13,4225.0,Thursday,3
2026-04-02,Chilli Chicken BL,chicken,4,1112.0,Thursday,3
2026-04-02,Chota Cdb Biryani,biryani,2,340.0,Thursday,3
2026-04-02,Chota Sp Biryani,biryani,3,510.0,Thursday,3
2026-04-02,Cool Drink 250ml,beverage,47,940.0,Thursday,3
2026-04-02,Curd,dairy,4,124.0,Thursday,3
2026-04-02,Curd Rice,rice,10,764.0,Thursday,3
2026-04-02,Fish Curry Small,seafood,2,460.0,Thursday,3
2026-04-02,Lassi Sweet,beverage,3,195.0,Thursday,3
2026-04-02,Methi Chaman,other,3,720.0,Thursday,3
2026-04-02,Mi.Water Lt,beverage,75,1500.0,Thursday,3
2026-04-02,Miwater .50Oml,beverage,42,420.0,Thursday,3
2026-04-02,Mixed Fried Rice Veg,rice,2,420.0,Thursday,3
2026-04-02,Murgi Masala B,other,2,632.0,Thursday,3
2026-04-02,Mushuroom Biryani,biryani,5,1145.0,Thursday,3
2026-04-02,Mutton Curry (L),other,2,880.0,Thursday,3
2026-04-02,Paneer,dairy,65,210.0,Thursday,3
2026-04-02,Paneer Butter Masala,dairy,2,440.0,Thursday,3
2026-04-02,Panner Bir (F) Pack,other,2,960.0,Thursday,3
2026-04-02,Panner Biryani,biryani,3,687.0,Thursday,3
2026-04-02,Panner Fried Rice,rice,2,440.0,Thursday,3
2026-04-02,Panner Machuria,other,2,440.0,Thursday,3
2026-04-02,Plain Rice,other,12,576.0,Thursday,3
2026-04-02,Prwans Fry,other,2,672.0,Thursday,3
2026-04-02,Pulka,other,29,348.0,Thursday,3
2026-04-02,Roti,bread,16,480.0,Thursday,3
2026-04-02,Sp Chicken Biryani,biryani,29,7743.0,Thursday,3
2026-04-02,Sp Family Pack,family_pack,11,6270.0,Thursday,3
2026-04-02,Spl Veg Fried Rice,rice,3,660.0,Thursday,3
2026-04-02,Star Chicken Bl,chicken,2,670.0,Thursday,3
2026-04-02,Tandoori Chicken Full,chicken,3,1470.0,Thursday,3
2026-04-02,Tandoori Chicken Half,chicken,3,915.0,Thursday,3
2026-04-02,Vanilla Ice Cream,ice_cream,3,297.0,Thursday,3
2026-04-02,Veg Biryani,biryani,5,860.0,Thursday,3
2026-04-02,Veg Fried Rice,rice,4,656.0,Thursday,3
2026-04-03,Andhra Chicken BL,chicken,1,316.0,Friday,4
2026-04-03,Anjeerbadam Ice Cream,ice_cream,3,450.0,Friday,4
2026-04-03,Bulter Chicken Bl,chicken,3,921.0,Friday,4
2026-04-03,Butter Naan,bread,34,1700.0,Friday,4
2026-04-03,Butterscotch Ice Cream,ice_cream,2,240.0,Friday,4
2026-04-03,CB Family Pack,family_pack,2,1150.0,Friday,4
2026-04-03,CDB Family Pack,family_pack,2,1110.0,Friday,4
2026-04-03,Caramilnuts Ice Cream,ice_cream,1,130.0,Friday,4
2026-04-03,Cashewnut Curry,starter,6,1440.0,Friday,4
2026-04-03,Cashewnut Paneer Biryani,biryani,3,750.0,Friday,4
2026-04-03,Chi Lolypop Bir (F) Pack,other,1,660.0,Friday,4
2026-04-03,Chicken 555 Bl,chicken,1,335.0,Friday,4
2026-04-03,Chicken 65 BL,chicken,6,1668.0,Friday,4
2026-04-03,Chicken Corn Soup,chicken,1,150.0,Friday,4
2026-04-03,Chicken Curry (B),chicken,1,250.0,Friday,4
2026-04-03,Chicken Curry Bl,chicken,2,576.0,Friday,4
2026-04-03,Chicken Drums (B),chicken,1,345.0,Friday,4
2026-04-03,Chicken Dum Biryani,biryani,14,3612.0,Friday,4
2026-04-03,Chicken Fry (B),chicken,2,520.0,Friday,4
2026-04-03,Chicken Fry Piece Biryani,biryani,7,1806.0,Friday,4
2026-04-03,Chicken Hot N Sour,chicken,4,600.0,Friday,4
2026-04-03,Chicken Lollypop 3pc,chicken,7,1400.0,Friday,4
2026-04-03,Chicken Lollypop 6pc,chicken,11,3575.0,Friday,4
2026-04-03,Chicken Lollypop Biryani,biryani,6,2010.0,Friday,4
2026-04-03,Chicken Pakoda Bl,chicken,2,614.0,Friday,4
2026-04-03,Chilli Chicken BL,chicken,5,1390.0,Friday,4
2026-04-03,Cool Drink 250ml,beverage,37,740.0,Friday,4
2026-04-03,Curd Rice,rice,9,684.0,Friday,4
2026-04-03,Egg,other,65,180.0,Friday,4
2026-04-03,Egg Manchuria,starter,2,360.0,Friday,4
2026-04-03,Fish Curry Small,seafood,2,460.0,Friday,4
2026-04-03,Kadai Chicken BL,chicken,2,614.0,Friday,4
2026-04-03,Kadai Paneer,chicken,2,460.0,Friday,4
